event_date,season,event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
01/26/2022,dry,KEN8080,01/26/2022,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Lamu,Lamu West,Witu,Witu,-2.3889,40.4382,NTV (Kenya); Daily Nation (Kenya),"On 26 January 2022, police repulsed Al Shabaab militants, as they attempted to attack using a rocket-propelled grenade (RPG) a convoy that included a vehicle carrying court officials at Lango la Simba area near Witu (Lamu West, Lamu county). Two court officials were injured during the incident.",0
01/22/2022,dry,KEN8070,01/22/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Tiaty,Tirioko,Kapedo,1.1692,36.0955,Kenya Standard,"On 22 January 2022, police repulsed an attack by suspected pokot militia in Kapedo village (Tiaty, Baringo county). Casualties unknown.",0
01/20/2022,dry,KEN8065,01/20/2022,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Toposa Ethnic Militia (South Sudan),,Kenya,Turkana,Kibish,Kibish,Kibish,4.9231,35.2744,Kenya Standard,"On 20 January 2022, about 200 armed raiders (presumed Toposa militia from South Sudan) attacked the Natapar village near Kibish (Kalokol, Turkana County), stealing 250 cattle. Police pursued the group heading to the South Sudanese border and clashed with the raiders. One herdsman was killed, and three others injured.",1
01/17/2022,dry,KEN8061,01/17/2022,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu West,Hindi,Bodhei,-1.8563,40.7166,Citizen (Kenya); Xinhua,"On 17 January 2022, Kenyan security forces in an operation killed 15 Al Shabaab militants in the Bodhei area (Lamu West, Lamu county). Al Shabaab claimed responsibility.",15
01/14/2022,dry,KEN8034,01/14/2022,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Mandera,Mandera West,Takaba South,Takaba,3.3553,40.2228,Star (Kenya),"On 14 January 2022, police raided Al Shabaab make-shift camps in Takaba (Mandera West, Mandera county), destroying the militant camp and logistical capabilities and paraphernalia. Three militants were killed. An unknown number of militants managed to escape.",3
01/10/2022,dry,KEN8017,01/10/2022,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Garissa,Dadaab,Liboi,Liboi,0.3534,40.8723,Daily Nation (Kenya); Star (Kenya),"On 10 January 2022, suspected Al Shabaab militants ambushed and killed four police officers between Liboi and Kulan area (Liboi, Garissa County) [coded to Liboi]. The militants took away three AK47 rifles and an unknown number of bullets from the slain officers.",4
01/09/2022,dry,KEN8015,01/09/2022,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Lamu,Lamu West,Bahari,Mpeketoni,-2.3899,40.6987,Star (Kenya),"On 9 January 2022, about 50 Al Shabaab militants attacked Juhudi/Marafa village in Mpeketoni (Lamu West, Lamu County). Two people were killed. Several houses were torched and food looted during the incident. Police arrived and a firefight ensued, lasting hours. Al Shabaab claimed responsibility.",2
01/02/2022,dry,KEN7990,01/02/2022,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Turkana Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Isiolo,Isiolo,Bula Pesa,Isiolo,0.3546,37.5822,K24,"On 2 January 2022, a suspected armed Turkana cattle rustler, allegedly on a revenge mission, was killed by the police at Kasarani Village near Isiolo (Isiolo, Isiolo County).",1
01/02/2022,dry,KEN7989,01/02/2022,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu East,Waso,Archers Post,0.644,37.6752,Kenyans.co,"On 2 January 2022, suspected Samburu pastoralists attacked a police station at Archers Post (Samburu East, Samburu), killing one police officer. It is alleged that the attack was a revenge against the security officers, following heightened operations in the area, where stolen livestock were recovered from the morans.",1
12/25/2021,rainy,KEN7980,12/25/2021,2021,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Borana Ethnic Militia (Kenya),,Kenya,Marsabit,Saku,Marsabit Central,Marsabit,2.333,37.983,Kenya Standard; NTV (Kenya),"Around 25 December 2021 (as reported), Degodia and Borana ethnic militias engaged in an armed clash, over scarce water and pasture at Basuke, in Marsabit county (coded to Marsabit, Marsabit Central, Saku). 11 people were killed. Over 300 families displaced by the conflict into Basir town in Wajir.",11
12/25/2021,rainy,KEN7981,12/25/2021,2021,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu Central,Porro,Poro,1.2061,36.5629,NTV (Kenya),"On 25 December 2021, militia allegedly from the Samburu community attacked and killed a police officer in Poro (Samburu Central, Samburu). The reason for the attack is unknown.",1
12/18/2021,rainy,KEN7970,12/18/2021,2021,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Marsabit,North Horr,Dukana,Jaldesa,4.1935,37.0775,Capital FM,"On 18 December 2021, suspected ethnic militia attacked a manyatta (homestead) in Jaldesa area (Dukana, Noth Horr, Marsabit County) and made away with 1,000 heads of cattle and 300 goats and sheep. Police forces chased and clashed with them, resulting in 8 fatalities and 3 injuries. All the stolen livestock was recovered.",8
12/18/2021,rainy,KEN7971,12/18/2021,2021,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,4,Police Forces of Kenya (2013-),Kubi Kalo Communal Militia (Kenya),Kenya,Marsabit,Saku,Sagante,Kubi Kalo,2.2238,38.0281,Capital FM,"On 18 December 2021, suspected ethnic militia attacked a manyatta (homestead) in Kubi Kalo (Sagante, Saku, Marsabit County) and made away with 800 heads of cattle and 1,500 goats and sheep. Police forces and local militia pursued them and 4 people were killed during the shootout. The stolen livestock were recovered.",4
12/14/2021,rainy,KEN7965,12/14/2021,2021,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Mandera,Mandera North,Guticha,Olla,3.9167,40.85,National Police Service-Kenya,"On 14 December 2021, an armed clash ensued between Al Shabaab militants and the National Police Reservists in Olla (Guticha, Mandera North, Mandera County). Two police officers were injured.",0
12/13/2021,rainy,KEN7962,12/13/2021,2021,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),Military Forces of Kenya (2013-),Kenya,Wajir,Wajir East,Khorof,Konton,2.0053,40.9274,Daily Nation (Kenya),"On 13 December 2021, an armed clash erupted between suspected Al Shabaab militants and National Police Reservists after militants attempted to abduct worshippers at a mosque in Konton Centre (Khorof, Wajir East, Wajir County). Police forces were joined by Kenya Defence Forces to pursue the militants. There were no fatalities during the incident.",0
12/12/2021,rainy,KEN7959,12/12/2021,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Baringo North,Bartabwa,Chepkesin,0.8917,35.8851,Kenyan Television NTV; Star (Kenya),"On 12 December 2021, suspected Pokot pastoralists raided two villages near Chepkesin (Baringo North, Baringo County). One police officer was killed and locals were forced to flee to a nearby primary school. Journalists were also targeted.",1
12/04/2021,rainy,KEN7930,12/04/2021,2021,Battles,Armed clash,Military Forces of Kenya (2013-) Special Forces,,1,Al Shabaab,,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Star (Kenya),"On 4 December 2021, Kenya security forces (Special Forces) unit conducted an operation against Al Shabaab militants along the Rhamu-Mandera Road, near Bambo area in Mandera town (Mandera East, Mandera). One militant was killed.",1
11/10/2021,rainy,KEN7911,11/10/2021,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-) General Service Unit,Military Forces of Kenya (2013-),Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Kenya Standard; Daily Nation (Kenya),"On 10 November 2021, armed pokot militia attacked General Service Unit and KDF officers digging a trench around Laikipia Nature Conservancy in Kamwenje area near Ol-moran town (Laikipia West, Laikipia). Four soldiers were killed and one other was injured.",4
11/04/2021,rainy,KEN7895,11/04/2021,2021,Battles,Armed clash,Turkana Ethnic Militia (Kenya),Pastoralists (Kenya),4,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Samburu,Samburu North,El Barta,Suyan,1.4425,36.8467,Daily Nation (Kenya),"On 4 November 2021, armed Turkana pastoralists continued to attack and clashed with pastoralists from Samburu in in Suyan village (Samburu North, Samburu). At least 5 people were seriously injured.",0
11/03/2021,rainy,KEN7897,11/03/2021,2021,Battles,Armed clash,Turkana Ethnic Militia (Kenya),Pastoralists (Kenya),4,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Samburu,Samburu North,El Barta,Suyan,1.4425,36.8467,Daily Nation (Kenya),"On 3 November 2021, armed Turkana pastoralists attacked and clashed with pastoralists from Samburu in Suyan village (Samburu North, Samburu), stealing about 1,000 heads of cattle. At least 14 people were killed.",14
10/27/2021,rainy,KEN7891,10/27/2021,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Kenya Standard; Citizen (Kenya),"On 27 October 2021, armed Pokot militia ambushed police officers from the General Service Unit on patrol in Kenya Mpya area in Ol-moran (Laikipia West, Laikipia). Three officer were killed and two others were injured. The GSU officers were deployed to provide security in Laikipia conservancy.",3
10/13/2021,rainy,KEN7873,10/13/2021,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Samburu,Samburu Central,Suguta Marmar,Longewan,0.858,36.5422,Daily Nation (Kenya),"On 13 October 2021, police officers from Anti-Stock Theft Unit (ASTU) conducted an operation and killed a suspected cattle rustler from the Samburu militias and recovered 27 stolen livestock and M16 rifle in Longewan town (Samburu Central, Samburu).",1
09/30/2021,dry,KEN7867,09/30/2021,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 30 September 2021, a suspected Pokot pastoralist clashed with two police reservists guarding Tumaini primary school in Ol-moran town (Laikipia West, Laikipia). One police officer was killed after he succumbed to his wounds two days later.",1
09/29/2021,dry,KEN7866,09/29/2021,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 29 September 2021, police forces conducted operations against and recovered 20 goats stolen by Pokot ethnic militia in Ol-moran town (Laikipia West, Laikipia). One militiaman was killed.",1
09/07/2021,dry,KEN7825,09/07/2021,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 7 September 2021, pokot militia clashed with police forces from the General Service Unit in an area near Ol-moran town (Laikipia West, Laikipia). The group burnt Mirigwiti Primary School before engaging in an armed clash with the GSU. The government imposed a curfew on restive areas of Laikipia Nature Conservancy. No injuries and/or fatalities reported.",0
09/02/2021,dry,KEN7781,09/02/2021,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Wajir,Tarbaj,Wargadud,Kutulo,2.4079,40.5948,Star (Kenya),"On 2 September 2021, police forces clashed with a suspected Al Shabaab militants on a motorbike in Kutaiyo area near Kutulo town (Wajir East, Wajir). One militant was killed. Five AK47 rifles with more than 500 bullets were recovered.",1
08/30/2021,dry,KEN7779,08/30/2021,2021,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Githiga,Kinamba,0.419,36.3274,Daily Nation (Kenya),"On 30 August 2021, unidentified communal militia, suspected to be bandits, attacked police forces (GSU) at a command center in Kamwenje at the border of Laikipia and Baringo counties, near Kinamba village (Laikipia West, Laikipia). One police officer was injured.",0
08/13/2021,dry,KEN7805,08/13/2021,2021,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Ol-moran,Sipili,0.435,36.3828,NTV (Kenya),"On 13 August 2021, an unidentified communal militia attacked police forces (GSU) at a camp in Laikipia conservancy area near Sipili town (Ol-moran, Laikipia West, Laikipia). Four officers were injured.",0
08/09/2021,dry,KEN7801,08/09/2021,2021,Battles,Armed clash,Toposa Ethnic Militia (South Sudan),,4,Police Forces of Kenya (2013-),,Kenya,Turkana,Turkana West,Lokichoggio,Lokichoggio,4.2,34.35,Kenya Standard,"On 9 August 2021, suspected Toposa ethnic militia from South Sudan invaded a Kenyan police camp, in an attempt to surround security installations at the border point in Lokichoggio town (Lokichoggio, Turkana West, Turkana). This is after bandits from Turkana stolen cattle from across the Nadapal border point. No fatalities reported.",0
08/08/2021,dry,KEN7800,08/08/2021,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Wajir,Tarbaj,Wargadud,Kotulo,2.4094,40.5948,Star (Kenya),"On 8 August 2021, police on a foot patrol clashed with two suspected Al Shabaab militants riding on a motorcycle at the Kutayo area in Kotulo village (Wargadud, Tarbaj, Wajir). One militant was killed.",1
08/05/2021,dry,KEN7790,08/05/2021,2021,Battles,Armed clash,Unidentified Communal Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Marigat,Mukutani,Arabal,0.5138,36.1756,Daily Nation (Kenya),"On 5 August 2021, an unidentified communal pastoralist militia attacked a police camp at the Arabal primary school in Arabal village (Mukutani, Marigat, Baringo). No fatalities and/or injuries reported.",0
07/31/2021,dry,KEN7786,07/31/2021,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia West,Ol-moran,Wangwachi,0.451,36.3442,Citizen (Kenya),"On 31 July 2021, suspected Pokot militias from Barigo clashed with police from the Anti-Stock Theft unit at the Laikipia Nature Conservancy in Wangwachi village in Ol-Moran town (Ol-moran, Laikipia West, Laikipia). One officer was killed. The militias invaded several ranches in the conservancy in search of pasture and water.",1
07/23/2021,dry,KEN7775,07/23/2021,2021,Battles,Armed clash,Maasai-Siria Sub-Clan Militia (Kenya),,4,Maasai-Iruasi Ngishu Sub-Clan Militia (Kenya),,Kenya,Narok,Transmara West,Keyian,Enooretet,-1.0609,34.728,Kenya Standard; Daily Nation (Kenya),"On 23 July 2021, Siria sub clan militia clashed with Uasin Gishu sub clan militia both from the Maasai ethnic group in Enooretet village (Shankoe, Transmara West, Narok). The Siria warriors attacked youths planting sugarcane in a shamba along the boundary, killing a student. The motive of the clash is due to a land dispute between the sub clans of Maasai.",1
