event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
KEN8191,19-Feb-22,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Mandera,Mandera West,Takaba South,Takaba,3.3553,40.2228,Star (Kenya),"On 19 February 2022, police ambushed about 10 Al Shabaab militants at a watering point in Takaba (Mandera West, Mandera county). One officer was wounded while 3 militants killed as the rest managed to escape.",3
KEN8192,19-Feb-22,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Garissa,Fafi,Fafi,Fafi,-0.4209,40.2201,Star (Kenya),"On 19 February 2022, about 30 Al Shabaab militants attacked Amuma within Fafi (Fafi, Garissa county), before being repulsed by the police. Casualties unknown.",0
KEN8232,17-Feb-22,2022,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Unidentified Communal Militia (Kenya),,Kenya,Nairobi,Ruaraka,Utalii,Mathare,-1.2614,36.8608,Star (Kenya),"Around 17 February 2022 (as reported), two unidentified communal militias' clashed in Mathare slums (Ruaraka, Nairobi county), allegedly over a move to mount posters on the wall of a building in the area. One man was killed.",1
KEN8160,12-Feb-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Private Security Forces (Kenya),,Kenya,Laikipia,Laikipia West,Ol-moran,Ol Ari Nyiro,0.5699,36.3982,Star (Kenya),"On 12 February 2022, over 10 suspected Pokot militia ambushed private security rangers in the Laikipia Nature and Conservancy, also known as Ol Ari Nyiro (Laikipia West, Laikipia county). One ranger was killed, and another injured during the incident",1
KEN8145,10-Feb-22,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Isiolo,Isiolo,Burat,Shab Hills,0.3971,37.5027,Daily Nation (Kenya),"On 10 February 2022, suspected Samburu militia ambushed police within Sarova Shaba national game reserve area (coded as Shab Hills, Isiolo, Isiolo county). A 45-year-old man was arrested. Some militia escaped with gunshot wounds. No fatalities reported.",0
KEN8127,9-Feb-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia North,Segera,Ol Moran,0.4599,36.7556,Star (Kenya); NTV (Kenya); Twitter; Kenyans.co,"On 9 February 2022, suspected Pokot militia (believed to have stolen animals), clashed with police in Mlima Jangili camp near Ol Moran (Laikipia North, Laikipia County). One police officer died, another seriously wounded.",1
KEN8138,8-Feb-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,Daily Nation (Kenya),"On 8 February 2022, police repulsed suspected Pokot militia, as they attempted to steal cattle in Maralal (Samburu central, Samburu county). The incident left one person seriously injured as the militia made away with property of unknown value.",0
KEN8118,3-Feb-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Turkana,Turkana East,Kapedo,Napeitom,1.7323,36.0401,Citizen (Kenya); Daily Nation (Kenya),"On 3 February 2022, about 20 suspected Pokot pastoralist militia overpowered the police in a shoot out, as they attacked Napeitom village (Turkana East, Turkana county). A 30-year-old woman and a seven-year-old boy (grade 2 student) were killed and over 130 sheep and goats stolen during the incident.",2
KEN8190,3-Feb-22,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Somali Memo,"Around 3 February 2022 (as reported), Al Shabaab militants attacked Kenya security forces at a base near Mandera county, coded as Mandera (Mandera East, Mandera county). Casualties unknown.",0
KEN8111,1-Feb-22,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Baringo,Marigat,Mukutani,Kapindasum,0.4811,36.1793,Star (Kenya),"On 1 February 2022, police engaged suspected pokot pastoralist militia in an armed clash in Kapindasum (Marigat, Baringo county). Fatalities unknown, while 40 head of cattle previously stolen at Arabal river were recovered with the help of local residents.",0
KEN8108,31-Jan-22,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Isiolo,Isiolo,Burat,Loruko,0.5622,37.5209,Daily Nation (Kenya),"On 31 January 2022, suspected Samburu pastoralists attacked Loruko police post (Isiolo county), and shot one police officer dead. The militia made away with food items of unknown value as well as two rifles and rounds of ammunition.",1
KEN8100,30-Jan-22,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Marsabit,Laisamis,Laisamis,Laisamis,1.6,37.8,Daily Nation (Kenya),"On 30 January 2022, police repulsed over 20 presumed Samburu ethnic militias at Malgis area near Laisamis (Laisamis, Marsabit county). The militia had attempted to steal cows by laying ambush to a lorry transporting about 40 cows from Moyale bound for a slaughterhouse in Nairobi. Casualities unknown.",0
KEN8098,29-Jan-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,NTV (Kenya); Citizen (Kenya); Twitter,"On 29 January 2022, police repulsed presumed Pokot pastoralist militia, as they attempted to attack Lamaiywe village in Mochongoi area (Mogotio, Baringo). Two people were critically injured during the incident.",0
KEN8085,28-Jan-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Elgeyo Marakwet,Marakwet East,Endo,Chesongoch,1.1333,35.6333,Kenya Standard; Facebook; Citizen (Kenya),"On 28 January 2022, suspected Pokot pastoralists attacked Lukuget Secondary School, near Chesongoch (Marakwet East, Elgeyo Marakwet county), with the motive of stealing school goats. Police reservists, manning the school together with locals, managed to repulse the attackers.",0
KEN8097,28-Jan-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia North,Mugogodo West,Mukogodo,0.4833,36.9333,Citizen (Kenya); Twitter,"Around 28 January 2022 (week of), suspected Pokot militia engaged the police in an armed clash at Eawso Police station near Mukogodo (Laikipia North, Laikipia county). The militia took off with a rifle. There were no fatalities.",0
KEN8080,26-Jan-22,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Lamu,Lamu West,Witu,Witu,-2.3889,40.4382,NTV (Kenya); Daily Nation (Kenya),"On 26 January 2022, police repulsed Al Shabaab militants, as they attempted to attack using a rocket-propelled grenade (RPG) a convoy that included a vehicle carrying court officials at Lango la Simba area near Witu (Lamu West, Lamu county). Two court officials were injured during the incident.",0
KEN8070,22-Jan-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Tiaty,Tirioko,Kapedo,1.1692,36.0955,Kenya Standard,"On 22 January 2022, police repulsed an attack by suspected pokot militia in Kapedo village (Tiaty, Baringo county). Casualties unknown.",0
KEN8065,20-Jan-22,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Toposa Ethnic Militia (South Sudan),,Kenya,Turkana,Kibish,Kibish,Kibish,4.9231,35.2744,Kenya Standard,"On 20 January 2022, about 200 armed raiders (presumed Toposa militia from South Sudan) attacked the Natapar village near Kibish (Kalokol, Turkana County), stealing 250 cattle. Police pursued the group heading to the South Sudanese border and clashed with the raiders. One herdsman was killed, and three others injured.",1
KEN8061,17-Jan-22,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu West,Hindi,Bodhei,-1.8563,40.7166,Citizen (Kenya); Xinhua,"On 17 January 2022, Kenyan security forces in an operation killed 15 Al Shabaab militants in the Bodhei area (Lamu West, Lamu county). Al Shabaab claimed responsibility.",15
KEN8034,14-Jan-22,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Mandera,Mandera West,Takaba South,Takaba,3.3553,40.2228,Star (Kenya),"On 14 January 2022, police raided Al Shabaab make-shift camps in Takaba (Mandera West, Mandera county), destroying the militant camp and logistical capabilities and paraphernalia. Three militants were killed. An unknown number of militants managed to escape.",3
KEN8017,10-Jan-22,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Garissa,Dadaab,Liboi,Liboi,0.3534,40.8723,Daily Nation (Kenya); Star (Kenya),"On 10 January 2022, suspected Al Shabaab militants ambushed and killed four police officers between Liboi and Kulan area (Liboi, Garissa County) [coded to Liboi]. The militants took away three AK47 rifles and an unknown number of bullets from the slain officers.",4
KEN8015,9-Jan-22,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Lamu,Lamu West,Bahari,Mpeketoni,-2.3899,40.6987,Star (Kenya),"On 9 January 2022, about 50 Al Shabaab militants attacked Juhudi/Marafa village in Mpeketoni (Lamu West, Lamu County). Two people were killed. Several houses were torched and food looted during the incident. Police arrived and a firefight ensued, lasting hours. Al Shabaab claimed responsibility.",2
KEN7990,2-Jan-22,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Turkana Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Isiolo,Isiolo,Bula Pesa,Isiolo,0.3546,37.5822,K24,"On 2 January 2022, a suspected armed Turkana cattle rustler, allegedly on a revenge mission, was killed by the police at Kasarani Village near Isiolo (Isiolo, Isiolo County).",1
KEN7989,2-Jan-22,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu East,Waso,Archers Post,0.644,37.6752,Kenyans.co,"On 2 January 2022, suspected Samburu pastoralists attacked a police station at Archers Post (Samburu East, Samburu), killing one police officer. It is alleged that the attack was a revenge against the security officers, following heightened operations in the area, where stolen livestock were recovered from the morans.",1
KEN7980,25-Dec-21,2021,Battles,Armed clash,Degodia Ethnic Militia (Kenya),,4,Borana Ethnic Militia (Kenya),,Kenya,Marsabit,Saku,Marsabit Central,Marsabit,2.333,37.983,Kenya Standard; NTV (Kenya),"Around 25 December 2021 (as reported), Degodia and Borana ethnic militias engaged in an armed clash, over scarce water and pasture at Basuke, in Marsabit county (coded to Marsabit, Marsabit Central, Saku). 11 people were killed. Over 300 families displaced by the conflict into Basir town in Wajir.",11
KEN7981,25-Dec-21,2021,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu Central,Porro,Poro,1.2061,36.5629,NTV (Kenya),"On 25 December 2021, militia allegedly from the Samburu community attacked and killed a police officer in Poro (Samburu Central, Samburu). The reason for the attack is unknown.",1
KEN7970,18-Dec-21,2021,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Marsabit,North Horr,Dukana,Jaldesa,4.1935,37.0775,Capital FM,"On 18 December 2021, suspected ethnic militia attacked a manyatta (homestead) in Jaldesa area (Dukana, Noth Horr, Marsabit County) and made away with 1,000 heads of cattle and 300 goats and sheep. Police forces chased and clashed with them, resulting in 8 fatalities and 3 injuries. All the stolen livestock was recovered.",8
KEN7971,18-Dec-21,2021,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,4,Police Forces of Kenya (2013-),Kubi Kalo Communal Militia (Kenya),Kenya,Marsabit,Saku,Sagante,Kubi Kalo,2.2238,38.0281,Capital FM,"On 18 December 2021, suspected ethnic militia attacked a manyatta (homestead) in Kubi Kalo (Sagante, Saku, Marsabit County) and made away with 800 heads of cattle and 1,500 goats and sheep. Police forces and local militia pursued them and 4 people were killed during the shootout. The stolen livestock were recovered.",4
KEN7965,14-Dec-21,2021,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Mandera,Mandera North,Guticha,Olla,3.9167,40.85,National Police Service-Kenya,"On 14 December 2021, an armed clash ensued between Al Shabaab militants and the National Police Reservists in Olla (Guticha, Mandera North, Mandera County). Two police officers were injured.",0
KEN7962,13-Dec-21,2021,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),Military Forces of Kenya (2013-),Kenya,Wajir,Wajir East,Khorof,Konton,2.0053,40.9274,Daily Nation (Kenya),"On 13 December 2021, an armed clash erupted between suspected Al Shabaab militants and National Police Reservists after militants attempted to abduct worshippers at a mosque in Konton Centre (Khorof, Wajir East, Wajir County). Police forces were joined by Kenya Defence Forces to pursue the militants. There were no fatalities during the incident.",0
KEN7959,12-Dec-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Baringo North,Bartabwa,Chepkesin,0.8917,35.8851,Kenyan Television NTV; Star (Kenya),"On 12 December 2021, suspected Pokot pastoralists raided two villages near Chepkesin (Baringo North, Baringo County). One police officer was killed and locals were forced to flee to a nearby primary school. Journalists were also targeted.",1
KEN7930,4-Dec-21,2021,Battles,Armed clash,Military Forces of Kenya (2013-) Special Forces,,1,Al Shabaab,,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Star (Kenya),"On 4 December 2021, Kenya security forces (Special Forces) unit conducted an operation against Al Shabaab militants along the Rhamu-Mandera Road, near Bambo area in Mandera town (Mandera East, Mandera). One militant was killed.",1
KEN7911,10-Nov-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-) General Service Unit,Military Forces of Kenya (2013-),Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Kenya Standard; Daily Nation (Kenya),"On 10 November 2021, armed pokot militia attacked General Service Unit and KDF officers digging a trench around Laikipia Nature Conservancy in Kamwenje area near Ol-moran town (Laikipia West, Laikipia). Four soldiers were killed and one other was injured.",4
KEN7895,4-Nov-21,2021,Battles,Armed clash,Turkana Ethnic Militia (Kenya),Pastoralists (Kenya),4,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Samburu,Samburu North,El Barta,Suyan,1.4425,36.8467,Daily Nation (Kenya),"On 4 November 2021, armed Turkana pastoralists continued to attack and clashed with pastoralists from Samburu in in Suyan village (Samburu North, Samburu). At least 5 people were seriously injured.",0
KEN7897,3-Nov-21,2021,Battles,Armed clash,Turkana Ethnic Militia (Kenya),Pastoralists (Kenya),4,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Samburu,Samburu North,El Barta,Suyan,1.4425,36.8467,Daily Nation (Kenya),"On 3 November 2021, armed Turkana pastoralists attacked and clashed with pastoralists from Samburu in Suyan village (Samburu North, Samburu), stealing about 1,000 heads of cattle. At least 14 people were killed.",14
KEN7891,27-Oct-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Kenya Standard; Citizen (Kenya),"On 27 October 2021, armed Pokot militia ambushed police officers from the General Service Unit on patrol in Kenya Mpya area in Ol-moran (Laikipia West, Laikipia). Three officer were killed and two others were injured. The GSU officers were deployed to provide security in Laikipia conservancy.",3
KEN7873,13-Oct-21,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Samburu,Samburu Central,Suguta Marmar,Longewan,0.858,36.5422,Daily Nation (Kenya),"On 13 October 2021, police officers from Anti-Stock Theft Unit (ASTU) conducted an operation and killed a suspected cattle rustler from the Samburu militias and recovered 27 stolen livestock and M16 rifle in Longewan town (Samburu Central, Samburu).",1
KEN7867,30-Sep-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 30 September 2021, a suspected Pokot pastoralist clashed with two police reservists guarding Tumaini primary school in Ol-moran town (Laikipia West, Laikipia). One police officer was killed after he succumbed to his wounds two days later.",1
KEN7866,29-Sep-21,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 29 September 2021, police forces conducted operations against and recovered 20 goats stolen by Pokot ethnic militia in Ol-moran town (Laikipia West, Laikipia). One militiaman was killed.",1
KEN7825,7-Sep-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 7 September 2021, pokot militia clashed with police forces from the General Service Unit in an area near Ol-moran town (Laikipia West, Laikipia). The group burnt Mirigwiti Primary School before engaging in an armed clash with the GSU. The government imposed a curfew on restive areas of Laikipia Nature Conservancy. No injuries and/or fatalities reported.",0
KEN7781,2-Sep-21,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Wajir,Tarbaj,Wargadud,Kutulo,2.4079,40.5948,Star (Kenya),"On 2 September 2021, police forces clashed with a suspected Al Shabaab militants on a motorbike in Kutaiyo area near Kutulo town (Wajir East, Wajir). One militant was killed. Five AK47 rifles with more than 500 bullets were recovered.",1
KEN7779,30-Aug-21,2021,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Githiga,Kinamba,0.419,36.3274,Daily Nation (Kenya),"On 30 August 2021, unidentified communal militia, suspected to be bandits, attacked police forces (GSU) at a command center in Kamwenje at the border of Laikipia and Baringo counties, near Kinamba village (Laikipia West, Laikipia). One police officer was injured.",0
KEN7805,13-Aug-21,2021,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Police Forces of Kenya (2013-) General Service Unit,,Kenya,Laikipia,Laikipia West,Ol-moran,Sipili,0.435,36.3828,NTV (Kenya),"On 13 August 2021, an unidentified communal militia attacked police forces (GSU) at a camp in Laikipia conservancy area near Sipili town (Ol-moran, Laikipia West, Laikipia). Four officers were injured.",0
KEN7801,9-Aug-21,2021,Battles,Armed clash,Toposa Ethnic Militia (South Sudan),,4,Police Forces of Kenya (2013-),,Kenya,Turkana,Turkana West,Lokichoggio,Lokichoggio,4.2,34.35,Kenya Standard,"On 9 August 2021, suspected Toposa ethnic militia from South Sudan invaded a Kenyan police camp, in an attempt to surround security installations at the border point in Lokichoggio town (Lokichoggio, Turkana West, Turkana). This is after bandits from Turkana stolen cattle from across the Nadapal border point. No fatalities reported.",0
KEN7800,8-Aug-21,2021,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Wajir,Tarbaj,Wargadud,Kotulo,2.4094,40.5948,Star (Kenya),"On 8 August 2021, police on a foot patrol clashed with two suspected Al Shabaab militants riding on a motorcycle at the Kutayo area in Kotulo village (Wargadud, Tarbaj, Wajir). One militant was killed.",1
KEN7790,5-Aug-21,2021,Battles,Armed clash,Unidentified Communal Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Marigat,Mukutani,Arabal,0.5138,36.1756,Daily Nation (Kenya),"On 5 August 2021, an unidentified communal pastoralist militia attacked a police camp at the Arabal primary school in Arabal village (Mukutani, Marigat, Baringo). No fatalities and/or injuries reported.",0
KEN7786,31-Jul-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia West,Ol-moran,Wangwachi,0.451,36.3442,Citizen (Kenya),"On 31 July 2021, suspected Pokot militias from Barigo clashed with police from the Anti-Stock Theft unit at the Laikipia Nature Conservancy in Wangwachi village in Ol-Moran town (Ol-moran, Laikipia West, Laikipia). One officer was killed. The militias invaded several ranches in the conservancy in search of pasture and water.",1
KEN7775,23-Jul-21,2021,Battles,Armed clash,Maasai-Siria Sub-Clan Militia (Kenya),,4,Maasai-Iruasi Ngishu Sub-Clan Militia (Kenya),,Kenya,Narok,Transmara West,Keyian,Enooretet,-1.0609,34.728,Kenya Standard; Daily Nation (Kenya),"On 23 July 2021, Siria sub clan militia clashed with Uasin Gishu sub clan militia both from the Maasai ethnic group in Enooretet village (Shankoe, Transmara West, Narok). The Siria warriors attacked youths planting sugarcane in a shamba along the boundary, killing a student. The motive of the clash is due to a land dispute between the sub clans of Maasai.",1
KEN7769,20-Jul-21,2021,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Marakwet Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Elgeyo Marakwet,Marakwet East,Kapyego,Kapsowar,1.1,35.5575,Daily Nation (Kenya),"On 20 July 2021, about 100 Pokot ethnic militia clashed with the Marakwet ethnic militia who were herding along the border at Chepkorowo grazing field near Kapsowar town (Kapyego, Marakwet East, Elgeyo Marakwet). Five people were killed and five others were injured.",5
KEN7760,15-Jul-21,2021,Battles,Armed clash,Marakwet Ethnic Militia (Kenya),Pastoralists (Kenya),4,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Elgeyo Marakwet,Keiyo North,Tambach,Keiyo Valley,0.659,35.5834,Kenya Standard,"On 15 July 2021, herders from the Marakwet ethnic militia clashed with herders from the Pokot ethnic militia at a grazing field near Kerio river in Keiyo Valley (Tambach, Keiyo North, Elgeyo Marakwet). Two people were killed.",2
KEN7742,9-Jul-21,2021,Battles,Armed clash,Borana Ethnic Militia (Kenya),,4,Garba Ethnic Militia (Kenya),,Kenya,Marsabit,Saku,Marsabit Central,Marsabit,2.333,37.983,Daily Nation (Kenya),"On 9 July 2021, Borana ethnic militia clashed with the Garba ethnic militia in Kiwanja Ndege area in Marsabit town (Marsabit Central, Saku, Marsabit). One person, who was a standard three pupil, was killed.",1
