OBJECTID,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
49,8918785,404,KEN8360,8360,21 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Busia,Teso North,Malaba Central,Amagoro,0.6333,34.3333,2,Star (Kenya),National,"On 21 March 2022, local residents accosted a man near Amagoro (Teso North, Busia) along the Malaba-Bungoma highway, for allegedly engaging in motorcycle theft. The suspect was knocked down and killed by a speeding cargo truck, as he attempted to run away from the mob. [size=no report]",1,1648497327,KEN
51,8918602,404,KEN8358,8358,20 March 2022,2022,1,Riots,Violent demonstration,Rioters (Kenya),,5,,,0,50,Eastern Africa,Kenya,Isiolo,Isiolo,Ngare Mara,Ngeramara,0.5965,37.623,1,Daily Nation (Kenya),National,"On 20 March 2022, local residents staged a demonstration by barricading the Isiolo-Archers Post road with bonfires in Ngeramara town (Isiolo, Isiolo) over increased cases of livestock theft. The incident left many motorists stranded. [size=no report]",0,1648497327,KEN
55,8918787,404,KEN8357,8357,20 March 2022,2022,1,Riots,Violent demonstration,Rioters (Kenya),,5,,,0,50,Eastern Africa,Kenya,Muranga,Gatanga,Kihumbu-ini,Gatanga,-0.9333,36.9667,1,Star (Kenya),National,"On 20 March 2022, a section of local residents staged a demonstration by blocking the Ndiara-Kahunyo-Wanduhi road with burning tires and branches in Gatanga (Gatanga, Muranga), over the alleged stalling of work on the 14.2km road. [size=no report]",0,1648497327,KEN
56,9403162,404,KEN8362,8362,20 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Kitui,Mwingi Central Sub- County,Kivou,Mwingi,-0.9333,38.0667,1,Opera News (Kenya),National,"Around 20 March 2022 (as reported), members of the public attacked, with stones, two police officers in Mwingi (Mwingi Central Sub- County,Kitui). It is alleged that the officers had tried to rescue a man, who had stabbed his friends with a knife, over a money dispute. [size=no report]",0,1657574725,KEN
59,8918484,404,KEN8361,8361,19 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),,5,Civilians (Kenya),UDA: United Democratic Alliance,7,57,Eastern Africa,Kenya,Kisii,Kitutu Chache North,Marani,Marani,-0.5812,34.8003,2,Kenya Broadcasting Corporation; Star (Kenya),National,"On 19 March 2022, youth pelted stones at the convoy of a United Democratic Alliance (UDA) parliamentary aspirant in Monyerero township near Marani (Kitutu Chache North, Kisii). The aspirant and one of his aides, sustained injuries and a number of vehicles were damaged. [size=no report]",0,1648497327,KEN
60,8918485,404,KEN8363,8363,19 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nakuru,Naivasha,Mai Mahiu,Mai Mahiu,-0.9838,36.5899,1,Kenya Standard; NTV (Kenya),New media-National,"On 19 March 2022, about 100 families displaced by the construction of the railway staged a peaceful protest in Mai Mahiu (Naivasha, Nakuru), demanding for compensation of their lost land. No further information. [size=about 100]",0,1648497327,KEN
64,8910605,404,KEN8346,8346,18 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Elgeyo Marakwet,Keiyo North,Kapchemutwa,Iten,0.6702,35.5077,2,Daily Nation (Kenya),National,"On 18 March 2022, local residents lynched a 31-year-old man to death, in Kapkesum village near Iten town (Keiyo North, Elgeyo Marakwet), for allegedly engaging in chicken theft. [size=no report]",1,1647897722,KEN
66,8918492,404,KEN8376,8376,18 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (South Sudan),,7,57,Eastern Africa,Kenya,Nakuru,Nakuru North,Kabatini,Nakuru,-0.2441,36.142,1,Daily Nation (Kenya); Eye Radio (South Sudan),National-Regional,"On 18 March 2022, a mob stormed and set ablaze the residence of 5 South Sudanese nationals in Mawanga neighbourhood of Nakuru town (Nakuru North, Nakuru). It is alleged that, one of the victims attempted to sexually assault a woman. One victim died while receiving treatment in hospital and the other four sustained serious burn injuries. [size=no report]",1,1648497327,KEN
67,8918707,404,KEN8356,8356,18 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Labour Group (Kenya),6,,,0,60,Eastern Africa,Kenya,Nakuru,Nakuru North,Kabatini,Nakuru,-0.2441,36.142,1,K24,National,"On 18 March 2022, around 400 scrap metal dealers staged a peaceful protest in Nakuru town (Nakuru North, Nakuru), demanding a lift on the ban on trade in scrap metals. [size=around 400]",0,1648497327,KEN
68,9154383,404,KEN8350,8350,18 March 2022,2022,1,Protests,Protest with intervention,Protesters (Kenya),Jubilee Party,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kiambu,Gatundu South,Kiamwangi,Gatundu,-1.05,36.9,1,Daily Nation (Kenya),National,"On 18 March 2022, presumed supporters of Jubilee Coalition protested by carrying placards and blocking a road (though unspecified means) in Gatundu (Gatundu South, Kiambu), demonstrating against the Deputy President (DP) William Ruto, demanding that he respects the president. The DP's security (believed to be police) cleared the protestors. [size=no report]",0,1650929910,KEN
69,9154410,404,KEN8349,8349,18 March 2022,2022,1,Protests,Protest with intervention,Protesters (Kenya),Azimio La Umoja Coalition; Jubilee Party,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kiambu,Githunguri,Ngewa,Kiamwangi,-1.1067,36.8667,1,Daily Nation (Kenya),National,"On 18 March 2022, a group of youth, presumed Jubilee Party and Azimio coalition supporters, disrupted a United Democratic Alliance (UDA) organized rally by shouting Jubilee Coalition and Azimio slogans in Kiamwangi (Githunguri, Kiambu). The Deputy President's security (believed to be police) dispersed the group. [size=no report]",0,1650929910,KEN
71,8910499,404,KEN8342,8342,17 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Laikipia,Laikipia East,Thingithu,Nanyuki,0.0167,37.0667,1,Kenya Broadcasting Corporation; NTV (Kenya),New media-National,"On 17 March 2022, local residents took to the streets over the poor health services at the Nanyuki Referral Hospital in Nanyuki town (Thingithu, Laikipia). Carrying placards, the protestors marched to the county's secretary's office, demanding the reinstatement of doctors who were fired 3 years ago and to ensure the hospital has medicine to improve service delivery. [size=no report]",0,1647897722,KEN
73,8910608,404,KEN8347,8347,17 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Uasin Gishu,Soy,Kapkures,Matunda,0.85,35.1333,2,Daily Nation (Kenya),National,"Around 17 March 2022 (as reported), local residents lynched a man in Kongoni village near Matunda (Soy, Uasin Gishu), for allegedly engaging in livestock theft. [size=no report]",1,1647897722,KEN
78,8918603,404,KEN8377,8377,16 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),UDA: United Democratic Alliance,5,Rioters (Kenya),ODM: Orange Democratic Movement,5,55,Eastern Africa,Kenya,Migori,Kuria West,Bukira East,Kihancha,-1.1833,34.6167,1,Daily Nation (Kenya),National,"Around 16 March 2022 (week of), unknown number of supporters of two Kuria West parliamentary aspirants on United Democratic Alliance (UDA) and Orange Democratic Movement (ODM) parties clashed (weapons unspecified) in Kehancha, also known as Kihancha (Kuria West, Migori). One person was killed, and three others sustained injuries. Police are investigating the incident. [size=no report]",1,1648497327,KEN
79,8910495,404,KEN8335,8335,15 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Nandi,Mosop,Kurgung,Sangalo,0.4333,34.95,2,Daily Nation (Kenya); TUKO; Kenya Standard,National,"On 15 March 2022, local residents confronted a police officer, arrested him, before locking him up in a house in Kimngoror area, near Sangalo (Mosop, Nandi). It is alleged that the officer had abandoned overseeing the nearby exam centre, to conduct an unsanctioned illicit brew sting operation. The residents later handed the officer to the local chief. [size=no report]",0,1647897722,KEN
93,8910768,404,KEN8315,8315,12 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),Labour Group (Kenya),7,57,Eastern Africa,Kenya,Machakos,Athi River,Syokimau-Mulolongo,Mlolongo,-1.3964,36.9403,1,Star (Kenya),National,"On 12 March 2022, members of the public beat up a 28 year old casual labourer in Mlolongo (Athi River, Machakos), for alleged theft at an apartment. The victim was rescued by police and taken to hospital. [size=no report]",0,1647897722,KEN
97,9471160,404,KEN8345,8345,11 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,,,0,50,Eastern Africa,Kenya,Kisumu,Seme,Central Seme,Kombewa,-0.1064,34.5205,2,Star (Kenya),National,"On 11 March 2022, youth stormed the homestead of man, and set a blaze 4 houses, cut down trees, bananas and pawpaw's in Karek village in the Seme constituency, near Kombewa (Central Seme, Kisumu), for allegedly killing a woman. Police arrested one person and helped restore calm. [size=no report]",0,1663032952,KEN
99,8900637,404,KEN8305,8305,10 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Students (Kenya),6,,,0,60,Eastern Africa,Kenya,Nakuru,Nakuru North,Kabatini,Nakuru,-0.2441,36.142,1,NTV (Kenya),New media,"On 10 March 2022, university students staged a protest in Nakuru town (Nakuru North, Nakuru county), over the alleged closure of industries, that has led to the increased unemployment rate of fresh graduates. No further information. [size=no report]",0,1647287810,KEN
100,8910489,404,KEN8318,8318,10 March 2022,2022,1,Protests,Protest with intervention,Protesters (Kenya),Taxi Drivers (Kenya),6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kirinyaga,Kirinyaga Central,Kerugoya,Kerugoya,-0.4989,37.2803,1,TUKO; Citizen (Kenya),National,"On 10 March 2022, boda boda taxi operators protested by storming into Kerugoya police station in Kerugoya (Kirinyaga Central, Kirinyaga), in solidarity with their colleagues who had been arrested, following the nationwide crackdown on the operators. Police intervened by firing tear gas to disperse them. [size=no report]",0,1647897722,KEN
104,8910596,404,KEN8332,8332,09 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Health Workers (Kenya),6,,,0,60,Eastern Africa,Kenya,Taita Taveta,Voi,Mbololo,Voi,-3.3961,38.5561,1,Capital FM,National,"On 9 March 2022, several health workers staged a peaceful protest against the neglect of their welfare by the health department, by marching to the County Public Service Board (CPSB) offices in Voi (Voi, Taita Taveta county), where they submitted their petition. [size=several]",0,1647897722,KEN
105,8910610,404,KEN8334,8334,09 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),,5,Civilians (Kenya),Women (Kenya),7,57,Eastern Africa,Kenya,West Pokot,Pokot Central,Wei Wei,Sigor,1.4845,35.4717,2,Daily Nation (Kenya),National,"On 9 March 2022, 10 men assaulted a 12-year-old girl in Lami Nyeusi village or in Sigor (Pokot Central, West Pokot) for allegedly refusing to be married off to an old man. The girl was later rescued by the Kapenguria children protection unit. [size=10] [women targeted: girls]",0,1647897722,KEN
106,8910652,404,KEN8317,8317,09 March 2022,2022,2,Protests,Peaceful protest,Protesters (Kenya),Farmers (Kenya),6,,,0,60,Eastern Africa,Kenya,Homa Bay,Suba,Kaksingiri West,Rangwe,-0.5667,34.1667,1,Kenya Standard,National,"Around 9 March 2022 (as reported), local residents (farmers) staged a protest against the construction of a culvert in river Maugo, on Otolo -Ang'iro road in Kochia East, within Rangwe (Suba, Homa Bay). The protestors demanded that the government remove the culverts and instead constructs a bridge on the river. [size=no report]",0,1647897722,KEN
109,9469681,404,KEN8320,8320,09 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,,,0,50,Eastern Africa,Kenya,Elgeyo Marakwet,Marakwet East,Endo,Embobut,1.2167,35.6333,2,Daily Nation (Kenya),National,"On 9 March 2022, suspected vigilante group raided the home of a person and those of his relatives in the area of Marichor, Embobut (Marakwet East, Elgeyo Marakwet ), setting ablaze all their properties. The motive of the attack was to revenge, after the person hit a grade three pupil along the Chesoi-Sambalat road with his vehicle. [size=no report]",0,1663032948,KEN
113,9471161,404,KEN8303,8303,08 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,,,0,50,Eastern Africa,Kenya,Kakamega,Lugari,Lugari,Lugari,0.6475,34.8775,1,Star (Kenya),National,"On 8 March 2022, local residents set a blaze the home of a 34-year-old man in Lugari (Lugari, Kakamega county), for allegedly killing his 85-year-old uncle, over witchcraft claims. [size=no report]",0,1663032952,KEN
116,9154568,404,KEN8299,8299,07 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Jubilee Party,5,Rioters (Kenya),Jubilee Party,5,55,Eastern Africa,Kenya,Nakuru,Nakuru North,Kabatini,Nakuru,-0.2441,36.142,1,Star (Kenya),National,"On 7 March 2022, some aspirants of the jubilee party clashed against one another in Nakuru (Nakuru North, Nakuru county), allegedly after they disagreed on the removal of one of the party official. No injuries sustained. [size=no report]",0,1650929911,KEN
118,8900581,404,KEN8301,8301,06 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Migori,Suna West,Waseweta Ii,Bondo Nyironge,-1.1,34.4,2,Kenya Standard,National,"On 6 March 2022, local residents arrested a 32-year-old man, and handed him over to the police, before setting his houses ablaze in the Nyamaraga area, in or near Bondo Nyironge (Migori), for allegedly killing and burying his friend in a shallow pit latrine. [size=no report]",0,1647287810,KEN
119,8900447,404,KEN8284,8284,05 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Azimio La Umoja Coalition,5,Civilians (Kenya),Kenya Kwanza Alliance; Police Forces of Kenya (2013-),7,57,Eastern Africa,Kenya,Bungoma,Mt Elgon,Elgon,Kapsokwony,0.8522,34.7019,2,Kenya Standard; Citizen (Kenya),National,"On 5 March 2022, supporters of Azimio la Umoja coalition and Kenya Kwanza Alliance clashed during the burial of former Mt Elgon member of parliament in Kimobo village, Kapsokwony (Mt Elgon, Bungoma county), after a Kenya Kwanza Alliance senator, made direct utterances on Bungoma governor Wycliffe Wangamati. Calm was however restored by police with no injuries sustained. [size=no report]",0,1647287809,KEN
121,9105726,404,KEN8292,8292,05 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Pastoralists (Kenya),6,,,0,60,Eastern Africa,Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,1,Twitter; Kenya Standard,New media-National,"On 5 March 2022, local pastoralists staged a peaceful protest in Mochongoi (Mogotio, Baringo county), decrying the increased rate of insecurity in the area. No further information. [size=no report]",0,1650311548,KEN
128,8893105,404,KEN8270,8270,03 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya); Health Workers (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Kakamega,Khwisero,Kisa North,Khwisero,0.1672,34.5996,1,Kenyans.co; Kenya Standard,National,"Around 3 March 2022 (as reported), local residents together with health workers beat up a man for masquerading as a surgeon at a private hospital in Khwisero (Khwisero, Kakamega county), before he was rescued by the police. [size=no report]",0,1646691987,KEN
129,8893278,404,KEN8277,8277,03 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Homa Bay,Ndhiwa,Kanyamwa Kosewe,Ndhiwa,-0.7333,34.3667,1,Kenya Standard,National,"On 3 March 2022, local residents demonstrated at Ariri village in Ndhiwa (Ndhiwa, Homa Bay county), following the knocking down of a boda boda taxi operator and killing of his pillion passenger by a truck driver from a local sugar miller. The demonstrators decried the increased rate of accidents in the area by the tuck drivers and carried the body of the victim to the millers main gate, demanding action to be taken. [size=no report]",0,1646691988,KEN
130,8893328,404,KEN8279,8279,03 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),Christian Group (Kenya); Labour Group (Kenya); Taxi Drivers (Kenya),7,57,Eastern Africa,Kenya,Kakamega,Likuyani,Likuyani,Soy,0.6784,35.1438,2,Opera News (Kenya),National,"On 3 March 2022, local residents lynched a pastor of a local christian church, who was also a milk seller and boda boda taxi operator, in Dalisu village in Soy (Likuyani, Kakamega county), for allegedly engaging in cattle theft. [size=no report]",1,1646691988,KEN
131,8893375,404,KEN8273,8273,03 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Health Workers (Kenya),6,,,0,60,Eastern Africa,Kenya,Vihiga,Vihiga,Lugaga-Wamuluma,Mbale,0.0821,34.7214,1,Star (Kenya),National,"On 3 March 2022, health workers a staged a demonstration in Mbale town (Vihiga, Vihiga county), as they sought audience with the government health officials, over their seven month delayed pay. [size=no report]",0,1646691988,KEN
132,8900685,404,KEN8286,8286,03 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Kitui,Kitui Central,Township,Kitui,-1.3667,38.0167,1,Star (Kenya),National,"On 3 March 2022, a section of local residents staged a demonstration in Kitui (Kitui) by camping outside the county commissioner's office. The protestors demanded compensation after being displaced by the ongoing tarmacking of the Kibwezi-Migwani road project. [size=no report]",0,1647287810,KEN
134,9105725,404,KEN8272,8272,03 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Kisii,South Mugirango,Tabaka,Ikoba,-0.7666,34.6833,2,Twitter; Citizen (Kenya); Opera News (Kenya),New media-National,"On 3 March 2022, local residents staged a peaceful protest in Etago near Ikoba (South Mugirango, Kisii county), calling for justice, following the mysterious death of a middle aged man while in police custody. [size=no report]",0,1650311548,KEN
135,9154399,404,KEN8275,8275,03 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Jubilee Party,6,,,0,60,Eastern Africa,Kenya,Nakuru,Nakuru North,Kabatini,Nakuru,-0.2441,36.142,1,Daily Nation (Kenya),National,"On 3 March 2022, some aspirants of the jubilee party, protested the closure of their party offices in Nakuru (Nakuru North, Nakuru county), before some could present their nomination papers. No further information. [size=no report]",0,1650929910,KEN
